19:04:35.631986 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:37.132259 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:38.630191 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:43.614957 ARP, Request who-has 192.168.184.132 (Broadcast) tell 192.168.184.131, length 46
19:04:43.615679 ARP, Reply 192.168.184.132 is-at 00:0c:29:89:bb:aa (oui Unknown), length 46
19:04:43.818733 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:44.819908 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:45.819838 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:47.822741 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:48.822687 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:49.821206 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:51.451683 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:51.822887 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:52.610048 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:52.820835 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:53.449673 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:53.821012 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:54.451687 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:55.616086 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:56.449986 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:56.825850 IP 192.168.184.131.58477 > 192.168.184.132.imaps: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:06:30.457789 IP 192.168.184.132.1718 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.457818 IP 192.168.184.132.8701 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.457846 IP 192.168.184.132.afpovertcp > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.457851 IP 192.168.184.132.26214 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.457866 IP 192.168.184.132.8899 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.457871 IP 192.168.184.132.1334 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.457886 IP 192.168.184.132.1037 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.457893 IP 192.168.184.132.6699 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.458075 IP 192.168.184.132.27356 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.458090 IP 192.168.184.132.2701 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.458147 IP 192.168.184.132.1049 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.458154 IP 192.168.184.132.10024 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.458184 IP 192.168.184.132.1761 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.458189 IP 192.168.184.132.1152 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.458205 IP 192.168.184.132.1047 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.460404 IP 192.168.184.131.50724 > 192.168.184.132.44442: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460506 IP 192.168.184.131.50724 > 192.168.184.132.18988: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460513 IP 192.168.184.131.50724 > 192.168.184.132.2522: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460543 IP 192.168.184.131.50724 > 192.168.184.132.32770: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460547 IP 192.168.184.131.50724 > 192.168.184.132.1071: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460564 IP 192.168.184.131.50724 > 192.168.184.132.667: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460584 IP 192.168.184.131.50724 > 192.168.184.132.2909: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460589 IP 192.168.184.131.50724 > 192.168.184.132.20005: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460605 IP 192.168.184.131.50724 > 192.168.184.132.snpp: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460626 IP 192.168.184.131.50724 > 192.168.184.132.8192: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460631 IP 192.168.184.131.50724 > 192.168.184.132.5087: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460657 IP 192.168.184.131.50724 > 192.168.184.132.19842: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460662 IP 192.168.184.131.50724 > 192.168.184.132.tproxy: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460678 IP 192.168.184.131.50724 > 192.168.184.132.2034: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460697 IP 192.168.184.131.50724 > 192.168.184.132.1131: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460702 IP 192.168.184.131.50724 > 192.168.184.132.65000: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460720 IP 192.168.184.131.50724 > 192.168.184.132.1002: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460743 IP 192.168.184.131.50724 > 192.168.184.132.880: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460747 IP 192.168.184.131.50724 > 192.168.184.132.1021: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460763 IP 192.168.184.131.50724 > 192.168.184.132.1040: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460783 IP 192.168.184.131.50724 > 192.168.184.132.1111: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460787 IP 192.168.184.131.50724 > 192.168.184.132.5730: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460833 IP 192.168.184.132.44442 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.460838 IP 192.168.184.132.18988 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.460859 IP 192.168.184.132.2522 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.460863 IP 192.168.184.132.32770 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.460879 IP 192.168.184.132.1071 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.460883 IP 192.168.184.132.667 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.460908 IP 192.168.184.131.50724 > 192.168.184.132.2381: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460913 IP 192.168.184.131.50724 > 192.168.184.132.1089: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460929 IP 192.168.184.131.50724 > 192.168.184.132.1271: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460934 IP 192.168.184.131.50724 > 192.168.184.132.3221: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460968 IP 192.168.184.131.50724 > 192.168.184.132.6792: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.460973 IP 192.168.184.131.50724 > 192.168.184.132.1137: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461012 IP 192.168.184.132.2909 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461017 IP 192.168.184.132.20005 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461045 IP 192.168.184.132.snpp > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461050 IP 192.168.184.132.8192 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461066 IP 192.168.184.132.5087 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461080 IP 192.168.184.131.50724 > 192.168.184.132.5120: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461083 IP 192.168.184.131.50724 > 192.168.184.132.10009: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461100 IP 192.168.184.131.50724 > 192.168.184.132.1328: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461104 IP 192.168.184.131.50724 > 192.168.184.132.1700: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461160 IP 192.168.184.132.19842 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461166 IP 192.168.184.132.tproxy > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461195 IP 192.168.184.132.2034 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461200 IP 192.168.184.132.1131 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461216 IP 192.168.184.132.65000 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461230 IP 192.168.184.131.50724 > 192.168.184.132.4446: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461234 IP 192.168.184.131.50724 > 192.168.184.132.5414: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461269 IP 192.168.184.131.50724 > 192.168.184.132.1147: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461275 IP 192.168.184.131.50724 > 192.168.184.132.3351: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461302 IP 192.168.184.131.50724 > 192.168.184.132.3071: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461306 IP 192.168.184.131.50724 > 192.168.184.132.51493: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461322 IP 192.168.184.131.50724 > 192.168.184.132.5080: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461326 IP 192.168.184.131.50724 > 192.168.184.132.10616: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461355 IP 192.168.184.131.50724 > 192.168.184.132.5679: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461360 IP 192.168.184.131.50724 > 192.168.184.132.spamd: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461388 IP 192.168.184.131.50724 > 192.168.184.132.3323: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461393 IP 192.168.184.131.50724 > 192.168.184.132.3814: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461433 IP 192.168.184.132.1002 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461438 IP 192.168.184.132.880 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461458 IP 192.168.184.132.1021 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461463 IP 192.168.184.132.1040 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461478 IP 192.168.184.132.1111 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461484 IP 192.168.184.132.5730 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461513 IP 192.168.184.132.2381 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461518 IP 192.168.184.132.1089 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461533 IP 192.168.184.132.1271 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461538 IP 192.168.184.132.3221 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461555 IP 192.168.184.132.6792 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461559 IP 192.168.184.132.1137 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461587 IP 192.168.184.131.50724 > 192.168.184.132.3: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461591 IP 192.168.184.131.50724 > 192.168.184.132.27353: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461608 IP 192.168.184.131.50724 > 192.168.184.132.1051: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461613 IP 192.168.184.131.50724 > 192.168.184.132.3325: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461636 IP 192.168.184.131.50724 > 192.168.184.132.1055: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461650 IP 192.168.184.132.5120 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461653 IP 192.168.184.132.10009 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461672 IP 192.168.184.132.1328 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461677 IP 192.168.184.132.1700 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461692 IP 192.168.184.132.4446 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461706 IP 192.168.184.131.50724 > 192.168.184.132.1185: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.461809 IP 192.168.184.132.5414 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461817 IP 192.168.184.132.1147 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461842 IP 192.168.184.132.3351 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461846 IP 192.168.184.132.3071 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461862 IP 192.168.184.132.51493 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.461867 IP 192.168.184.132.5080 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462107 IP 192.168.184.132.10616 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462123 IP 192.168.184.132.5679 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462259 IP 192.168.184.132.spamd > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462264 IP 192.168.184.132.3323 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462281 IP 192.168.184.132.3814 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462286 IP 192.168.184.132.3 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462301 IP 192.168.184.132.27353 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462305 IP 192.168.184.132.1051 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462320 IP 192.168.184.132.3325 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462325 IP 192.168.184.132.1055 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.462340 IP 192.168.184.132.1185 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464053 IP 192.168.184.131.50724 > 192.168.184.132.16000: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464147 IP 192.168.184.131.50724 > 192.168.184.132.5357: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464171 IP 192.168.184.131.50724 > 192.168.184.132.cisco-sccp: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464176 IP 192.168.184.131.50724 > 192.168.184.132.3998: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464204 IP 192.168.184.131.50724 > 192.168.184.132.1052: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464209 IP 192.168.184.131.50724 > 192.168.184.132.11110: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464225 IP 192.168.184.131.50724 > 192.168.184.132.82: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464244 IP 192.168.184.131.50724 > 192.168.184.132.32785: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464249 IP 192.168.184.131.50724 > 192.168.184.132.1097: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464265 IP 192.168.184.131.50724 > 192.168.184.132.1065: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464285 IP 192.168.184.131.50724 > 192.168.184.132.5800: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464290 IP 192.168.184.131.50724 > 192.168.184.132.3527: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464319 IP 192.168.184.131.50724 > 192.168.184.132.bpcd: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464323 IP 192.168.184.131.50724 > 192.168.184.132.1309: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464339 IP 192.168.184.131.50724 > 192.168.184.132.2323: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464358 IP 192.168.184.131.50724 > 192.168.184.132.rmiregistry: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464381 IP 192.168.184.131.50724 > 192.168.184.132.rsync: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464401 IP 192.168.184.131.50724 > 192.168.184.132.1028: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464406 IP 192.168.184.131.50724 > 192.168.184.132.1100: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464435 IP 192.168.184.131.50724 > 192.168.184.132.gsigatekeeper: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464439 IP 192.168.184.131.50724 > 192.168.184.132.9876: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464455 IP 192.168.184.131.50724 > 192.168.184.132.5999: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464487 IP 192.168.184.132.16000 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464493 IP 192.168.184.132.5357 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464513 IP 192.168.184.132.cisco-sccp > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464518 IP 192.168.184.132.3998 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464543 IP 192.168.184.131.50724 > 192.168.184.132.42510: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464547 IP 192.168.184.131.50724 > 192.168.184.132.5998: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464564 IP 192.168.184.131.50724 > 192.168.184.132.3878: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464588 IP 192.168.184.131.50724 > 192.168.184.132.5925: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464608 IP 192.168.184.131.50724 > 192.168.184.132.2399: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464613 IP 192.168.184.131.50724 > 192.168.184.132.20222: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464653 IP 192.168.184.132.1052 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464658 IP 192.168.184.132.11110 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464686 IP 192.168.184.132.82 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464691 IP 192.168.184.132.32785 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464716 IP 192.168.184.131.50724 > 192.168.184.132.1721: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464720 IP 192.168.184.131.50724 > 192.168.184.132.616: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464738 IP 192.168.184.131.50724 > 192.168.184.132.bpjava-msvc: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464765 IP 192.168.184.131.50724 > 192.168.184.132.7103: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464770 IP 192.168.184.131.50724 > 192.168.184.132.1521: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464799 IP 192.168.184.131.50724 > 192.168.184.132.gnutella-svc: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464804 IP 192.168.184.131.50724 > 192.168.184.132.3052: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464830 IP 192.168.184.131.50724 > 192.168.184.132.6689: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464835 IP 192.168.184.131.50724 > 192.168.184.132.366: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464864 IP 192.168.184.131.50724 > 192.168.184.132.imsp: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464869 IP 192.168.184.131.50724 > 192.168.184.132.8011: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.464911 IP 192.168.184.132.1097 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464917 IP 192.168.184.132.1065 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464936 IP 192.168.184.132.5800 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464941 IP 192.168.184.132.3527 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464971 IP 192.168.184.132.bpcd > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464975 IP 192.168.184.132.1309 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464991 IP 192.168.184.132.2323 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.464995 IP 192.168.184.132.rmiregistry > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465010 IP 192.168.184.132.rsync > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465014 IP 192.168.184.132.1028 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465030 IP 192.168.184.132.1100 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465045 IP 192.168.184.131.50724 > 192.168.184.132.3851: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465048 IP 192.168.184.131.50724 > 192.168.184.132.900: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465066 IP 192.168.184.131.50724 > 192.168.184.132.12174: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465093 IP 192.168.184.131.50724 > 192.168.184.132.svrloc: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465097 IP 192.168.184.131.50724 > 192.168.184.132.44443: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465113 IP 192.168.184.131.50724 > 192.168.184.132.9080: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465128 IP 192.168.184.132.gsigatekeeper > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465131 IP 192.168.184.132.9876 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465151 IP 192.168.184.132.5999 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465165 IP 192.168.184.131.50724 > 192.168.184.132.6881: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465183 IP 192.168.184.131.50724 > 192.168.184.132.vopied: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465228 IP 192.168.184.131.50724 > 192.168.184.132.417: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465233 IP 192.168.184.131.50724 > 192.168.184.132.4321: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465259 IP 192.168.184.132.42510 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465264 IP 192.168.184.132.5998 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465282 IP 192.168.184.132.3878 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465287 IP 192.168.184.132.5925 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465313 IP 192.168.184.131.50724 > 192.168.184.132.32778: Flags [S], seq 1120896925, win 1024, options [mss 1460], length 0
19:06:30.465378 IP 192.168.184.132.2399 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465386 IP 192.168.184.132.20222 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465445 IP 192.168.184.132.1721 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465450 IP 192.168.184.132.616 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465466 IP 192.168.184.132.bpjava-msvc > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
19:06:30.465492 IP 192.168.184.132.7103 > 192.168.184.131.50724: Flags [R.], seq 0, ack 1120896926, win 0, length 0
